Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,Min®ÕÌÉb district,geonames:123941,IR,27.13104,57.08716
1,2,Persia,geonames:130758,IR,32,53
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Dom,geonames:2301639,GH,5.65003,-0.2361
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Andrade,geonames:3130062,ES,43.38333,-8.16667
1,2,Mello,geonames:8968433,IT,45.63716,8.11376
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,Baffin's Bay,geonames:4671916,US,27.25588,-97.51638
1,2,Bandar,geonames:1215498,ID,2.05,99.75
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,San Pedro,geonames:1688749,PH,14.3595,121.0473
1,2,Sunne,geonames:2670710,SE,59.83764,13.14302
1,2,Portugals,geonames:964394,ZA,-32.35,21.01667
1,2,Masqat,geonames:287286,OM,23.58413,58.40778
1,2,Mello,geonames:8968433,IT,45.63716,8.11376
1,2,Ruy,geonames:2638965,GB,51.51033,-3.12376
1,2,Freire,geonames:3855357,AR,-31.16448,-62.09861
1,2,Qishm,geonames:119374,IR,26.9492,56.2691
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Spain,geonames:2510769,ES,40,-4
